Weedsps,CallistoRate,Rateunit,RateM,RateunitM,RUN,Trt,Rep,Herbicide,DAT,IR,Dry weight,Biomass
Waterhemp,0,fl oz/A,0,g AE/ha,1,1,1,Callisto,21,0,0.47,-2
Waterhemp,0,fl oz/A,0,g AE/ha,1,1,2,Callisto,21,0,0.46,0
Waterhemp,0,fl oz/A,0,g AE/ha,1,1,3,Callisto,21,0,0.49,-7
Waterhemp,0,fl oz/A,0,g AE/ha,1,1,4,Callisto,21,0,0.42,9
Waterhemp,1.5,fl oz/A,52.5,g AE/ha,1,2,1,Callisto,21,25,0.3,35
Waterhemp,1.5,fl oz/A,52.5,g AE/ha,1,2,2,Callisto,21,15,0.48,-4
Waterhemp,1.5,fl oz/A,52.5,g AE/ha,1,2,3,Callisto,21,10,0.41,11
Waterhemp,1.5,fl oz/A,52.5,g AE/ha,1,2,4,Callisto,21,20,0.24,48
Waterhemp,3,fl oz/A,105,g AE/ha,1,3,1,Callisto,21,20,0.28,39
Waterhemp,3,fl oz/A,105,g AE/ha,1,3,2,Callisto,21,35,0.43,7
Waterhemp,3,fl oz/A,105,g AE/ha,1,3,3,Callisto,21,35,0.35,24
Waterhemp,3,fl oz/A,105,g AE/ha,1,3,4,Callisto,21,20,0.42,9
Waterhemp,6,fl oz/A,210,g AE/ha,1,4,1,Callisto,21,30,0.31,33
Waterhemp,6,fl oz/A,210,g AE/ha,1,4,2,Callisto,21,35,0.22,52
Waterhemp,6,fl oz/A,210,g AE/ha,1,4,3,Callisto,21,40,0.29,37
Waterhemp,6,fl oz/A,210,g AE/ha,1,4,4,Callisto,21,50,0.15,67
Waterhemp,12,fl oz/A,420,g AE/ha,1,5,1,Callisto,21,55,0.33,28
Waterhemp,12,fl oz/A,420,g AE/ha,1,5,2,Callisto,21,55,0.21,54
Waterhemp,12,fl oz/A,420,g AE/ha,1,5,3,Callisto,21,60,0.27,41
Waterhemp,12,fl oz/A,210,g AE/ha,1,5,4,Callisto,21,55,0.29,37
Waterhemp,24,fl oz/A,840,g AE/ha,1,6,1,Callisto,21,50,0.28,39
Waterhemp,24,fl oz/A,840,g AE/ha,1,6,2,Callisto,21,60,0.27,41
Waterhemp,24,fl oz/A,840,g AE/ha,1,6,3,Callisto,21,80,0.04,91
Waterhemp,24,fl oz/A,840,g AE/ha,1,6,4,Callisto,21,60,0.21,54
Waterhemp,0,fl oz/A,0,g AE/ha,1,7,1,Laudis,21,0,0.33,7
Waterhemp,0,fl oz/A,0,g AE/ha,1,7,2,Laudis,21,0,0.29,18
Waterhemp,0,fl oz/A,0,g AE/ha,1,7,3,Laudis,21,0,0.32,10
Waterhemp,0,fl oz/A,0,g AE/ha,1,7,4,Laudis,21,0,0.48,-35
Waterhemp,1.5,fl oz/A,46,g AE/ha,1,8,1,Laudis,21,55,0.12,66
Waterhemp,1.5,fl oz/A,46,g AE/ha,1,8,2,Laudis,21,50,0.17,52
Waterhemp,1.5,fl oz/A,46,g AE/ha,1,8,3,Laudis,21,65,0.2,44
Waterhemp,1.5,fl oz/A,46,g AE/ha,1,8,4,Laudis,21,70,0.19,46
Waterhemp,3,fl oz/A,92,g AE/ha,1,9,1,Laudis,21,70,0.2,44
Waterhemp,3,fl oz/A,92,g AE/ha,1,9,2,Laudis,21,65,0.24,32
Waterhemp,3,fl oz/A,92,g AE/ha,1,9,3,Laudis,21,70,0.2,44
Waterhemp,3,fl oz/A,92,g AE/ha,1,9,4,Laudis,21,85,0.05,86
Waterhemp,6,fl oz/A,184,g AE/ha,1,10,1,Laudis,21,85,0.08,77
Waterhemp,6,fl oz/A,184,g AE/ha,1,10,2,Laudis,21,80,0.1,72
Waterhemp,6,fl oz/A,184,g AE/ha,1,10,3,Laudis,21,90,0.05,86
Waterhemp,6,fl oz/A,184,g AE/ha,1,10,4,Laudis,21,85,0.05,86
Waterhemp,12,fl oz/A,368,g AE/ha,1,11,1,Laudis,21,80,0.04,89
Waterhemp,12,fl oz/A,368,g AE/ha,1,11,2,Laudis,21,85,0.16,55
