Weedsps,year,CallistoRate,Rateunit,RateM,RateunitM,Rep,Herbicide,DAT,IR,1g/4m2,DWR
Waterhemp,2012,0,fl oz/A,0,g AE/ha,1,Callisto,21,0.0001,56.4,0.0001
Waterhemp,2012,0,fl oz/A,0,g AE/ha,2,Callisto,21,0.0001,86.5,0.0001
Waterhemp,2012,0,fl oz/A,0,g AE/ha,3,Callisto,21,0.0001,74.7,0.0001
Waterhemp,2012,3,fl oz/A,105,g AE/ha,1,Callisto,21,50,10.3,45
Waterhemp,2012,3,fl oz/A,105,g AE/ha,2,Callisto,21,50,11.2,40
Waterhemp,2012,3,fl oz/A,105,g AE/ha,3,Callisto,21,40,50,50
Waterhemp,2012,6,fl oz/A,210,g AE/ha,1,Callisto,21,40,17.2,45
Waterhemp,2012,6,fl oz/A,210,g AE/ha,2,Callisto,21,40,28.8,50
Waterhemp,2012,6,fl oz/A,210,g AE/ha,3,Callisto,21,38,32.5,50
Waterhemp,2012,12,fl oz/A,420,g AE/ha,1,Callisto,21,50,19.6,60
Waterhemp,2012,12,fl oz/A,420,g AE/ha,2,Callisto,21,70,3.1,65
Waterhemp,2012,12,fl oz/A,420,g AE/ha,3,Callisto,21,60,33.1,65
Waterhemp,2012,24,fl oz/A,840,g AE/ha,1,Callisto,21,50,20.1,70
Waterhemp,2012,24,fl oz/A,840,g AE/ha,2,Callisto,21,60,7.1,65
Waterhemp,2012,24,fl oz/A,840,g AE/ha,3,Callisto,21,60,6.8,70
Waterhemp,2013,0,fl oz/A,0,g AE/ha,1,Callisto,21,0.0001,41.9,0.0001
Waterhemp,2013,0,fl oz/A,0,g AE/ha,2,Callisto,21,0.0001,83.7,0.0001
Waterhemp,2013,0,fl oz/A,0,g AE/ha,3,Callisto,21,0.0001,99.2,0.0001
Waterhemp,2013,3,fl oz/A,105,g AE/ha,1,Callisto,21,50,12.7,45
Waterhemp,2013,3,fl oz/A,105,g AE/ha,2,Callisto,21,40,27.2,40
