Weedsps,Rate,Rateunit,RateM,RateunitM,RUN,Trt,Rep,Herbicide,DAT,IR,Dry weight,Biomass
Waterhemp,,fl oz/A,0,g AE/ha,1,1,1,Callisto,21,0,0.52,-29
Waterhemp,,fl oz/A,0,g AE/ha,1,1,2,Callisto,21,0,0.42,-4
Waterhemp,,fl oz/A,0,g AE/ha,1,1,3,Callisto,21,0,0.25,38
Waterhemp,,fl oz/A,0,g AE/ha,1,1,4,Callisto,21,0,0.42,-4
Waterhemp,,fl oz/A,26.25,g AE/ha,1,2,1,Callisto,21,40,0.15,63
Waterhemp,,fl oz/A,26.25,g AE/ha,1,2,2,Callisto,21,60,0.08,80
Waterhemp,,fl oz/A,26.25,g AE/ha,1,2,3,Callisto,21,55,0.11,73
Waterhemp,,fl oz/A,26.25,g AE/ha,1,2,4,Callisto,21,65,0.09,78
Waterhemp,,fl oz/A,52.5,g AE/ha,1,3,1,Callisto,21,65,0.29,28
Waterhemp,,fl oz/A,52.5,g AE/ha,1,3,2,Callisto,21,60,0.29,28
Waterhemp,,fl oz/A,52.5,g AE/ha,1,3,3,Callisto,21,60,0.33,18
Waterhemp,,fl oz/A,52.5,g AE/ha,1,3,4,Callisto,21,65,0.16,60
Waterhemp,,fl oz/A,78.75,g AE/ha,1,4,1,Callisto,21,65,0.17,58
Waterhemp,,fl oz/A,78.75,g AE/ha,1,4,2,Callisto,21,65,0.2,50
Waterhemp,,fl oz/A,78.75,g AE/ha,1,4,3,Callisto,21,65,0.31,23
Waterhemp,,fl oz/A,78.75,g AE/ha,1,4,4,Callisto,21,70,0.18,55
Waterhemp,,fl oz/A,105,g AE/ha,1,5,1,Callisto,21,90,0.07,83
Waterhemp,,fl oz/A,105,g AE/ha,1,5,2,Callisto,21,85,0.18,55
Waterhemp,,fl oz/A,105,g AE/ha,1,5,3,Callisto,21,80,0.16,60
Waterhemp,,fl oz/A,105,g AE/ha,1,5,4,Callisto,21,85,0.11,73
Waterhemp,,fl oz/A,210,g AE/ha,1,6,1,Callisto,21,85,0.15,63
Waterhemp,,fl oz/A,210,g AE/ha,1,6,2,Callisto,21,90,0.18,55
Waterhemp,,fl oz/A,210,g AE/ha,1,6,3,Callisto,21,99,0.05,88
Waterhemp,,fl oz/A,210,g AE/ha,1,6,4,Callisto,21,99,0.11,73
Waterhemp,,fl oz/A,0,g AE/ha,1,7,1,Laudis,21,0,0.42,-13
Waterhemp,,fl oz/A,0,g AE/ha,1,7,2,Laudis,21,0,0.38,-2
Waterhemp,,fl oz/A,0,g AE/ha,1,7,3,Laudis,21,0,0.31,17
Waterhemp,,fl oz/A,0,g AE/ha,1,7,4,Laudis,21,0,0.39,-5
Waterhemp,,fl oz/A,23,g AE/ha,1,8,1,Laudis,21,65,0.07,81
Waterhemp,,fl oz/A,23,g AE/ha,1,8,2,Laudis,21,70,0.12,68
Waterhemp,,fl oz/A,23,g AE/ha,1,8,3,Laudis,21,65,0.1,73
Waterhemp,,fl oz/A,23,g AE/ha,1,8,4,Laudis,21,85,0.09,76
Waterhemp,,fl oz/A,46,g AE/ha,1,9,1,Laudis,21,80,0.13,65
Waterhemp,,fl oz/A,46,g AE/ha,1,9,2,Laudis,21,85,0.09,76
Waterhemp,,fl oz/A,46,g AE/ha,1,9,3,Laudis,21,85,0.11,70
Waterhemp,,fl oz/A,46,g AE/ha,1,9,4,Laudis,21,85,0.1,73
Waterhemp,,fl oz/A,69,g AE/ha,1,10,1,Laudis,21,95,0.09,76
Waterhemp,,fl oz/A,69,g AE/ha,1,10,2,Laudis,21,90,0.06,84
Waterhemp,,fl oz/A,69,g AE/ha,1,10,3,Laudis,21,90,0.11,70
Waterhemp,,fl oz/A,69,g AE/ha,1,10,4,Laudis,21,95,0.11,70
Waterhemp,,fl oz/A,92,g AE/ha,1,11,1,Laudis,21,95,0.05,87
