Weedsps,Rate,Rateunit,RateM,RateunitM,RUN,Trt,Rep,Herbicide,DAT,IR,Dry weight,Biomass
Waterhemp,,fl oz/A,0,g AE/ha,1,1,1,Callisto,21,0,0.83,-21
Waterhemp,,fl oz/A,0,g AE/ha,1,1,2,Callisto,21,0,0.73,-6
Waterhemp,,fl oz/A,0,g AE/ha,1,1,3,Callisto,21,0,0.62,10
Waterhemp,,fl oz/A,0,g AE/ha,1,1,4,Callisto,21,0,0.57,17
Waterhemp,,fl oz/A,52.5,g AE/ha,1,2,1,Callisto,21,15,0.57,17
Waterhemp,,fl oz/A,52.5,g AE/ha,1,2,2,Callisto,21,15,0.71,-3
Waterhemp,,fl oz/A,52.5,g AE/ha,1,2,3,Callisto,21,20,0.58,16
Waterhemp,,fl oz/A,52.5,g AE/ha,1,2,4,Callisto,21,20,0.44,36
Waterhemp,,fl oz/A,105,g AE/ha,1,3,1,Callisto,21,40,0.38,45
Waterhemp,,fl oz/A,105,g AE/ha,1,3,2,Callisto,21,50,0.26,62
Waterhemp,,fl oz/A,105,g AE/ha,1,3,3,Callisto,21,25,0.6,13
Waterhemp,,fl oz/A,105,g AE/ha,1,3,4,Callisto,21,35,0.4,42
Waterhemp,,fl oz/A,210,g AE/ha,1,4,1,Callisto,21,45,0.3,56
Waterhemp,,fl oz/A,210,g AE/ha,1,4,2,Callisto,21,50,0.3,56
Waterhemp,,fl oz/A,210,g AE/ha,1,4,3,Callisto,21,45,0.49,29
Waterhemp,,fl oz/A,210,g AE/ha,1,4,4,Callisto,21,50,0.43,37
Waterhemp,,fl oz/A,420,g AE/ha,1,5,1,Callisto,21,55,0.52,24
Waterhemp,,fl oz/A,420,g AE/ha,1,5,2,Callisto,21,55,0.21,69
Waterhemp,,fl oz/A,420,g AE/ha,1,5,3,Callisto,21,50,0.45,35
Waterhemp,,fl oz/A,210,g AE/ha,1,5,4,Callisto,21,65,0.2,71
Waterhemp,,fl oz/A,840,g AE/ha,1,6,1,Callisto,21,65,0.26,62
Waterhemp,,fl oz/A,840,g AE/ha,1,6,2,Callisto,21,70,0.27,61
Waterhemp,,fl oz/A,840,g AE/ha,1,6,3,Callisto,21,65,0.2,71
Waterhemp,,fl oz/A,840,g AE/ha,1,6,4,Callisto,21,60,0.44,36
