Weedsps,year,RateM,RateunitM,Rep,Herbicide,DAT,IR,1g/4m2,DW per Pl,DWR
Waterhemp,2012,0,g AE/ha,1,Callisto,21,0.00001,161.8,1.0372,0.00001
Waterhemp,2012,0,g AE/ha,2,Callisto,21,0.00001,135.1,0.8497,0.00001
Waterhemp,2012,0,g AE/ha,3,Callisto,21,0.00001,62.6,1.1179,0.00001
Waterhemp,2012,105,g AE/ha,1,Callisto,21,30,59.6,0.7268,27
Waterhemp,2012,105,g AE/ha,2,Callisto,21,20,75.7,0.9232,30
Waterhemp,2012,105,g AE/ha,3,Callisto,21,25,51.4,0.9885,25
Waterhemp,2012,210,g AE/ha,1,Callisto,21,40,57.8,1.0321,50
Waterhemp,2012,210,g AE/ha,2,Callisto,21,50,45.3,0.4194,48
Waterhemp,2012,210,g AE/ha,3,Callisto,21,40,38.8,0.4911,51
Waterhemp,2012,420,g AE/ha,1,Callisto,21,55,14.9,0.7095,65
Waterhemp,2012,420,g AE/ha,2,Callisto,21,55,36.4,0.2395,60
Waterhemp,2012,420,g AE/ha,3,Callisto,21,55,66.7,0.5851,55
Waterhemp,2012,840,g AE/ha,1,Callisto,21,75,27,0.4355,65
Waterhemp,2012,840,g AE/ha,2,Callisto,21,70,48.4,0.242,65
Waterhemp,2012,840,g AE/ha,3,Callisto,21,60,27.9,0.3671,63
Waterhemp,2012,0,g AE/ha,1,Laudis,21,0.00001,52.8,0.6,0.00001
Waterhemp,2012,0,g AE/ha,2,Laudis,21,0.00001,145.6,1.693,0.00001
Waterhemp,2012,0,g AE/ha,3,Laudis,21,0.00001,143.5,1.3538,0.00001
Waterhemp,2012,92,g AE/ha,1,Laudis,21,45,23.5,0.5465,55.04277723
Waterhemp,2012,92,g AE/ha,2,Laudis,21,35,57.3,0.5355,55.94768016
Waterhemp,2012,92,g AE/ha,3,Laudis,21,40,na,0.59,51.46429747
Waterhemp,2012,184,g AE/ha,1,Laudis,21,55,16.3,0.45,62.98124383
Waterhemp,2012,184,g AE/ha,2,Laudis,21,50,44.4,0.45,62.98124383
Waterhemp,2012,184,g AE/ha,3,Laudis,21,40,33,0.35,61
Waterhemp,2012,368,g AE/ha,1,Laudis,21,80,5.1,0.1962,83.85982231
Waterhemp,2012,368,g AE/ha,2,Laudis,21,60,30.1,0.2761,77.28693649
Waterhemp,2012,368,g AE/ha,3,Laudis,21,75,17.1,0.31,74.49819019
Waterhemp,2012,736,g AE/ha,1,Laudis,21,90,5,0.2174,82.11582757
Waterhemp,2012,736,g AE/ha,2,Laudis,21,80,21.1,0.1788,85.29121422
Waterhemp,2012,736,g AE/ha,3,Laudis,21,90,31.5,0.15,87.66041461
Waterhemp,2012,0,g AE/ha,1,Impact,21,0.00001,74.4,0.7915,0.00001
Waterhemp,2012,0,g AE/ha,2,Impact,21,0.00001,75.6,1.35,0.00001
Waterhemp,2012,0,g AE/ha,3,Impact,21,0.00001,153.9,1.5866,0.00001
Waterhemp,2012,24.5,g AE/ha,1,Impact,21,70,24.1,0.58,53.3274322
Waterhemp,2012,24.5,g AE/ha,2,Impact,21,80,41.5,0.51,58.96032832
Waterhemp,2012,24.5,g AE/ha,3,Impact,21,70,73.9,0.49,60.56972721
Waterhemp,2012,49,g AE/ha,1,Impact,21,75,27.5,0.2594,79.1260964
Waterhemp,2012,49,g AE/ha,2,Impact,21,75,23.6,0.1967,84.17156192
Waterhemp,2012,49,g AE/ha,3,Impact,21,80,na,0.22,82.29661222
Waterhemp,2012,98,g AE/ha,1,Impact,21,85,27.1,0.15,87.92950833
Waterhemp,2012,98,g AE/ha,2,Impact,21,85,12.5,0.1344,84
Waterhemp,2012,98,g AE/ha,3,Impact,21,80,11,0.1594,87.17309085
Waterhemp,2012,196,g AE/ha,1,Impact,21,95,11,0.0887,92.86231593
Waterhemp,2012,196,g AE/ha,2,Impact,21,90,11.5,0.1198,90.35970065
Waterhemp,2012,196,g AE/ha,3,Impact,21,90,19.4,0.09,92.757705
Waterhemp,2013,0,g AE/ha,1,Callisto,21,0.00001,28.5,2.375,0.00001
Waterhemp,2013,0,g AE/ha,2,Callisto,21,0.00001,64.8,1.7053,0.00001
Waterhemp,2013,0,g AE/ha,3,Callisto,21,0.00001,90.5,0.933,0.00001
Waterhemp,2013,105,g AE/ha,1,Callisto,21,25,24.7,1.3722,25
Waterhemp,2013,105,g AE/ha,2,Callisto,21,25,11.5,1.0455,30
Waterhemp,2013,105,g AE/ha,3,Callisto,21,20,56.2,3.1222,25
Waterhemp,2013,210,g AE/ha,1,Callisto,21,50,29.9,2.1357,50
Waterhemp,2013,210,g AE/ha,2,Callisto,21,50,26.3,1.5471,45
Waterhemp,2013,210,g AE/ha,3,Callisto,21,40,18.7,3.1167,45
Waterhemp,2013,420,g AE/ha,1,Callisto,21,60,9.7,0.5389,65
Waterhemp,2013,420,g AE/ha,2,Callisto,21,50,28.1,0.7205,60
Waterhemp,2013,420,g AE/ha,3,Callisto,21,55,29,0.7073,65
Waterhemp,2013,840,g AE/ha,1,Callisto,21,70,24.1,1.7214,70
Waterhemp,2013,840,g AE/ha,2,Callisto,21,65,15.5,0.7381,65
Waterhemp,2013,840,g AE/ha,3,Callisto,21,70,13.8,0.2604,65
Waterhemp,2013,0,g AE/ha,1,Laudis,21,0.00001,77.3,1.0446,0.00001
Waterhemp,2013,0,g AE/ha,2,Laudis,21,0.00001,76.2,2.1167,0.00001
Waterhemp,2013,0,g AE/ha,3,Laudis,21,0.00001,60.3,5.025,0.00001
Waterhemp,2013,92,g AE/ha,1,Laudis,21,50,25.9,1.1,59.67741935
Waterhemp,2013,92,g AE/ha,2,Laudis,21,50,22.5,0.99,55
Waterhemp,2013,92,g AE/ha,3,Laudis,21,50,20.8,1.4,48.68035191
Waterhemp,2013,184,g AE/ha,1,Laudis,21,75,6.9,0.45,74
Waterhemp,2013,184,g AE/ha,2,Laudis,21,70,3.1,0.45,76
Waterhemp,2013,184,g AE/ha,3,Laudis,21,70,12.1,0.49,72
Waterhemp,2013,368,g AE/ha,1,Laudis,21,75,6.4,0.3048,88.82697947
Waterhemp,2013,368,g AE/ha,2,Laudis,21,85,5.4,0.28,89.73607038
Waterhemp,2013,368,g AE/ha,3,Laudis,21,92,4.2,0.2211,85
Waterhemp,2013,736,g AE/ha,1,Laudis,21,95,1.2,0.2,89
Waterhemp,2013,736,g AE/ha,2,Laudis,21,99,0,0.01,89
Waterhemp,2013,736,g AE/ha,3,Laudis,21,98,0.1,0.15,85
Waterhemp,2013,0,g AE/ha,1,Impact,21,0.00001,19,1.4615,0.00001
Waterhemp,2013,0,g AE/ha,2,Impact,21,0.00001,49.4,3.8,0.00001
Waterhemp,2013,0,g AE/ha,3,Impact,21,0.00001,132.9,4.2871,0.00001
Waterhemp,2013,24.5,g AE/ha,1,Impact,21,80,5.1,0.7,70
Waterhemp,2013,24.5,g AE/ha,2,Impact,21,85,12,0.65,79.55974843
Waterhemp,2013,24.5,g AE/ha,3,Impact,21,75,13.6,1.0462,70
Waterhemp,2013,49,g AE/ha,1,Impact,21,85,8,0.8,74.8427673
Waterhemp,2013,49,g AE/ha,2,Impact,21,85,6.2,0.4429,86.07232704
Waterhemp,2013,49,g AE/ha,3,Impact,21,85,3.5,0.1346,88
Waterhemp,2013,98,g AE/ha,1,Impact,21,90,2.1,0.14,90
Waterhemp,2013,98,g AE/ha,2,Impact,21,85,11.4,0.2192,87
Waterhemp,2013,98,g AE/ha,3,Impact,21,92,1.9,0.6,84
Waterhemp,2013,196,g AE/ha,1,Impact,21,99,1,0.125,96.06918239
Waterhemp,2013,196,g AE/ha,2,Impact,21,99,5.6,0.4,87.42138365
Waterhemp,2013,196,g AE/ha,3,Impact,21,97,0.3,0.05,98.42767296
Waterhemp,2014,0,g AE/ha,1,Callisto,21,0.00001,42.6,0.67,0.00001
Waterhemp,2014,0,g AE/ha,2,Callisto,21,0.00001,44.2,1.13,0.00001
Waterhemp,2014,0,g AE/ha,3,Callisto,21,0.00001,48.6,1.19,0.00001
Waterhemp,2014,105,g AE/ha,1,Callisto,21,20,9.4,0.24,35
Waterhemp,2014,105,g AE/ha,2,Callisto,21,25,19.1,0.52,35
Waterhemp,2014,105,g AE/ha,3,Callisto,21,25,22.4,0.66,33
Waterhemp,2014,210,g AE/ha,1,Callisto,21,40,2.4,0.22,50
Waterhemp,2014,210,g AE/ha,2,Callisto,21,40,2.7,0.21,50
Waterhemp,2014,210,g AE/ha,3,Callisto,21,50,3.9,0.3,45
Waterhemp,2014,420,g AE/ha,1,Callisto,21,50,2.7,0.21,60
Waterhemp,2014,420,g AE/ha,2,Callisto,21,50,2,0.12,55
Waterhemp,2014,420,g AE/ha,3,Callisto,21,50,8.2,0.19,60
Waterhemp,2014,840,g AE/ha,1,Callisto,21,50,5,0.22,65
Waterhemp,2014,840,g AE/ha,2,Callisto,21,70,3,0.2,70
Waterhemp,2014,840,g AE/ha,3,Callisto,21,75,0.5,0.25,70
Waterhemp,2014,0,g AE/ha,1,Laudis,21,0.00001,91.2,0.95,0.00001
Waterhemp,2014,0,g AE/ha,2,Laudis,21,0.00001,39.2,0.91,0.00001
Waterhemp,2014,0,g AE/ha,3,Laudis,21,0.00001,28.2,0.94,0.00001
Waterhemp,2014,92,g AE/ha,1,Laudis,21,40,2.4,0.45,51.78399229
Waterhemp,2014,92,g AE/ha,2,Laudis,21,45,3.2,0.46,50.71252545
Waterhemp,2014,92,g AE/ha,3,Laudis,21,50,5.2,0.47,49.64105861
Waterhemp,2014,184,g AE/ha,1,Laudis,21,55,3.3,0.17,75
Waterhemp,2014,184,g AE/ha,2,Laudis,21,65,1.9,0.19,70
Waterhemp,2014,184,g AE/ha,3,Laudis,21,50,4.4,0.18,75
Waterhemp,2014,368,g AE/ha,1,Laudis,21,85,0.025,0.15,83.92799743
Waterhemp,2014,368,g AE/ha,2,Laudis,21,80,1.2,0.11,88.21386478
Waterhemp,2014,368,g AE/ha,3,Laudis,21,75,1.2,0.1,89.28533162
Waterhemp,2014,736,g AE/ha,1,Laudis,21,90,0.125,0.13,86.0709311
Waterhemp,2014,736,g AE/ha,2,Laudis,21,90,0.0025,0.1,89.28533162
Waterhemp,2014,736,g AE/ha,3,Laudis,21,85,1,0.15,83.92799743
Waterhemp,2014,0,g AE/ha,1,Impact,21,0.00001,36.3,0.63,0.00001
Waterhemp,2014,0,g AE/ha,2,Impact,21,0.00001,36.8,1.27,0.00001
Waterhemp,2014,0,g AE/ha,3,Impact,21,0.00001,38.6,0.82,0.00001
Waterhemp,2014,24.5,g AE/ha,1,Impact,21,70,1.1,0.22,75.71743929
Waterhemp,2014,24.5,g AE/ha,2,Impact,21,70,1.4,0.28,69.09492274
Waterhemp,2014,24.5,g AE/ha,3,Impact,21,70,1,0.13,85.65121413
Waterhemp,2014,49,g AE/ha,1,Impact,21,80,0.2,0.2,77.92494481
Waterhemp,2014,49,g AE/ha,2,Impact,21,85,0.8,0.11,87.85871965
Waterhemp,2014,49,g AE/ha,3,Impact,21,85,0.5,0.13,80
Waterhemp,2014,98,g AE/ha,1,Impact,21,90,0,0.1,88.96247241
Waterhemp,2014,98,g AE/ha,2,Impact,21,85,2.6,0.1,82
Waterhemp,2014,98,g AE/ha,3,Impact,21,90,1.3,0.14,84.54746137
Waterhemp,2014,196,g AE/ha,1,Impact,21,99,0,0.011,98.78587196
Waterhemp,2014,196,g AE/ha,2,Impact,21,99,0,0.002,99.77924945
Waterhemp,2014,196,g AE/ha,3,Impact,21,90,0,0.002,99.77924945
Waterhemp,2015,0,g AE/ha,1,CallistoS,21,0.00001,0.83,1,0.00001
Waterhemp,2015,0,g AE/ha,2,CallistoS,21,0.00001,0.86,-3,0.00001
Waterhemp,2015,0,g AE/ha,3,CallistoS,21,0.00001,0.84,0,0.00001
Waterhemp,2015,0,g AE/ha,4,CallistoS,21,0.00001,0.82,2,0.00001
Waterhemp,2015,26.25,g AE/ha,1,CallistoS,21,25,0.53,37,25
Waterhemp,2015,26.25,g AE/ha,2,CallistoS,21,20,0.7,16,25
Waterhemp,2015,26.25,g AE/ha,3,CallistoS,21,20,0.6,-22,28.35820896
Waterhemp,2015,26.25,g AE/ha,4,CallistoS,21,30,0.41,51,40
Waterhemp,2015,52.5,g AE/ha,1,CallistoS,21,45,0.52,38,45
Waterhemp,2015,52.5,g AE/ha,2,CallistoS,21,45,0.55,-4,40
Waterhemp,2015,52.5,g AE/ha,3,CallistoS,21,40,0.47,44,43.88059701
Waterhemp,2015,52.5,g AE/ha,4,CallistoS,21,50,0.6,28,45
Waterhemp,2015,78.75,g AE/ha,1,CallistoS,21,55,0.55,34,55
Waterhemp,2015,78.75,g AE/ha,2,CallistoS,21,60,0.45,9,60
Waterhemp,2015,78.75,g AE/ha,3,CallistoS,21,60,0.32,62,61.79104478
Waterhemp,2015,78.75,g AE/ha,4,CallistoS,21,65,0.47,44,50
Waterhemp,2015,105,g AE/ha,1,CallistoS,21,70,0.3,7,70
Waterhemp,2015,105,g AE/ha,2,CallistoS,21,65,0.39,53,65
Waterhemp,2015,105,g AE/ha,3,CallistoS,21,65,0.4,45,65
Waterhemp,2015,105,g AE/ha,4,CallistoS,21,65,0.28,34,66.56716418
Waterhemp,2015,210,g AE/ha,1,CallistoS,21,75,0.2,50,80
Waterhemp,2015,210,g AE/ha,2,CallistoS,21,75,0.18,68,78.50746269
Waterhemp,2015,210,g AE/ha,3,CallistoS,21,80,0.15,53,82.08955224
Waterhemp,2015,210,g AE/ha,4,CallistoS,21,75,0.14,69,86
Waterhemp,2015,0,g AE/ha,1,LaudisS,21,0.0001,0.83,-25,0.0001
Waterhemp,2015,0,g AE/ha,2,LaudisS,21,0.0001,0.71,-7,0.0001
Waterhemp,2015,0,g AE/ha,3,LaudisS,21,0.0001,0.57,14,0.0001
Waterhemp,2015,0,g AE/ha,4,LaudisS,21,0.0001,0.55,17,0.0001
Waterhemp,2015,23,g AE/ha,1,LaudisS,21,65,0.29,56,56.39097744
Waterhemp,2015,23,g AE/ha,2,LaudisS,21,50,0.37,44,44.36090226
Waterhemp,2015,23,g AE/ha,3,LaudisS,21,60,0.31,29,53.38345865
Waterhemp,2015,23,g AE/ha,4,LaudisS,21,70,0.5,25,24.81203008
Waterhemp,2015,46,g AE/ha,1,LaudisS,21,60,0.31,41,53.38345865
Waterhemp,2015,46,g AE/ha,2,LaudisS,21,65,0.27,59,59.39849624
Waterhemp,2015,46,g AE/ha,3,LaudisS,21,70,0.29,56,56.39097744
Waterhemp,2015,46,g AE/ha,4,LaudisS,21,60,0.25,35,62.40601504
Waterhemp,2015,69,g AE/ha,1,LaudisS,21,70,0.21,40,68.42105263
Waterhemp,2015,69,g AE/ha,2,LaudisS,21,85,0.15,53,77.44360902
Waterhemp,2015,69,g AE/ha,3,LaudisS,21,75,0.13,62,80.45112782
Waterhemp,2015,69,g AE/ha,4,LaudisS,21,70,0.16,62,75.93984962
